17,20;White;Craft-repair
17,20;White;Adm-clerical
17,20;White;Prof-specialty
17,20;White;Other-service
17,20;White;Sales
17,20;White;Tech-support
17,20;White;Adm-clerical
17,20;White;Sales
17,20;White;Other-service
17,20;White;Handlers-cleaners
17,20;White;Other-service
17,20;White;Sales
17,20;White;Sales
17,20;White;Sales
17,20;White;Adm-clerical
17,20;White;Other-service
17,20;White;Other-service
17,20;White;Other-service
17,20;White;Other-service
17,20;White;Other-service
17,20;White;Adm-clerical
17,20;White;Adm-clerical
17,20;White;Other-service
17,20;White;Handlers-cleaners
17,20;White;Sales
17,20;White;Handlers-cleaners
21,23;White;Adm-clerical
21,23;White;Protective-serv
21,23;White;Machine-op-inspct
21,23;White;Machine-op-inspct
21,23;White;Craft-repair
21,23;White;Other-service
21,23;White;Other-service
21,23;White;Craft-repair
21,23;White;Handlers-cleaners
21,23;White;Transport-moving
21,23;White;Transport-moving
21,23;White;Prof-specialty
21,23;White;Handlers-cleaners
21,23;White;Sales
21,23;White;Sales
21,23;White;Machine-op-inspct
21,23;White;Sales
21,23;White;Sales
21,23;White;Sales
21,23;White;Other-service
24,26;White;Farming-fishing
24,26;White;Tech-support
24,26;White;Handlers-cleaners
24,26;White;Sales
24,26;White;Other-service
24,26;White;Other-service
24,26;White;Machine-op-inspct
24,26;White;Sales
24,26;White;Prof-specialty
24,26;White;Craft-repair
24,26;White;Adm-clerical
24,26;White;Protective-serv
24,26;White;Craft-repair
24,26;White;Tech-support
24,26;White;Machine-op-inspct
24,26;White;Exec-managerial
24,26;White;Craft-repair
24,26;White;Tech-support
24,26;White;Sales
24,26;White;Machine-op-inspct
24,26;White;Adm-clerical
24,26;White;Sales
24,26;White;Other-service
24,26;White;Craft-repair
24,26;White;Adm-clerical
24,26;White;Craft-repair
24,26;White;Exec-managerial
27,28;White;Adm-clerical
27,28;White;Other-service
27,28;White;Sales
27,28;White;Sales
27,28;White;Adm-clerical
27,28;White;Sales
27,28;White;Other-service
27,28;White;Protective-serv
27,28;White;Craft-repair
27,28;White;Prof-specialty
27,28;White;Sales
27,28;White;Prof-specialty
27,28;White;Prof-specialty
27,28;White;Craft-repair
27,28;White;Craft-repair
27,28;White;Other-service
27,28;White;Adm-clerical
29,30;White;Adm-clerical
29,30;White;Prof-specialty
29,30;White;Machine-op-inspct
29,30;White;Sales
29,30;White;Tech-support
29,30;White;Sales
29,30;White;Sales
29,30;White;Handlers-cleaners
29,30;White;Craft-repair
29,30;White;Handlers-cleaners
29,30;White;Prof-specialty
29,30;White;Craft-repair
29,30;White;Prof-specialty
29,30;White;Protective-serv
29,30;White;Tech-support
29,30;White;Exec-managerial
29,30;White;Craft-repair
29,30;White;Machine-op-inspct
29,30;White;Other-service
31;White;Prof-specialty
31;White;Machine-op-inspct
31;White;Farming-fishing
31;White;Adm-clerical
31;White;Adm-clerical
31;White;Prof-specialty
31;White;Handlers-cleaners
31;White;Prof-specialty
31;White;Transport-moving
31;White;Prof-specialty
31;White;Machine-op-inspct
32,33;White;Machine-op-inspct
32,33;White;Prof-specialty
32,33;White;Craft-repair
32,33;White;Prof-specialty
32,33;White;Other-service
32,33;White;Other-service
32,33;White;Prof-specialty
32,33;White;Craft-repair
32,33;White;Farming-fishing
32,33;White;Exec-managerial
32,33;White;Exec-managerial
32,33;White;Craft-repair
32,33;White;Exec-managerial
32,33;White;Exec-managerial
32,33;White;Exec-managerial
34,37;White;Exec-managerial
34,37;White;Other-service
34,37;White;Craft-repair
34,37;White;Craft-repair
34,37;White;Protective-serv
34,37;White;Sales
34,37;White;Machine-op-inspct
34,37;White;Sales
34,37;White;Other-service
34,37;White;Adm-clerical
34,37;White;Other-service
34,37;White;Adm-clerical
34,37;White;Craft-repair
34,37;White;Prof-specialty
34,37;White;Adm-clerical
34,37;White;Craft-repair
34,37;White;Craft-repair
34,37;White;Prof-specialty
34,37;White;Exec-managerial
